Depth (m)	TOC_Leco (%)	S1 (mg HC/g rock)	S2 (mg HC/g rock)	S3 (mg HC/g rock)	Tmax (°C)	HI (mg HC/g TOC)	OI (mg CO2/g TOC)	PI	Name
369.6	1.78	0.08	2.81	0.23	439	158	13	0.03	WellA
369.9	1.67	0.06	2.24	0.31	439	134	19	0.03	WellA
371.8	1.56	0.06	2.17	0.26	439	139	17	0.03	WellA
374.2	1.75	0.11	2.55	0.29	434	146	17	0.04	WellA
378.3	2.28	0.14	4.86	0.28	432	213	12	0.03	WellA
380.2	2.27	0.19	5.87	0.30	431	259	13	0.03	WellA
382.8	2.23	0.24	5.88	0.25	431	264	11	0.04	WellA
383.9	1.31	0.13	3.01	0.25	431	230	19	0.04	WellA
386.0	2.71	0.26	8.89	0.21	427	328	8	0.03	WellA
386.9	3.55	0.30	13.22	0.32	426	372	9	0.02	WellA
388.1	2.68	0.29	9.15	0.32	427	341	12	0.03	WellA
390.7	2.05	0.25	5.29	0.18	429	258	9	0.05	WellA
391.9	2.58	0.24	7.07	0.36	427	274	14	0.03	WellA
392.9	2.60	0.34	8.79	0.25	426	338	10	0.04	WellA
396.6	2.81	0.30	8.84	0.40	426	315	14	0.03	WellA
398.5	2.94	0.31	9.38	0.30	425	319	10	0.03	WellA
401.2	3.54	0.48	16.13	0.27	424	456	8	0.03	WellA
402.4	3.46	0.53	14.31	0.37	417	414	11	0.04	WellA
403.9	4.23	0.74	21.28	0.34	420	503	8	0.03	WellA
406.7	3.42	0.59	13.86	0.29	421	405	8	0.04	WellA
408.4	3.44	0.52	12.78	0.33	423	372	10	0.04	WellA
409.4	4.24	0.69	18.92	0.44	421	446	10	0.04	WellA
411.3	3.56	0.56	14.62	0.36	421	411	10	0.04	WellA
413.0	3.04	0.44	11.75	0.23	424	387	8	0.04	WellA
414.8	2.67	0.60	11.68	0.29	423	437	11	0.05	WellA
418.7	2.89	0.46	11.29	0.26	421	391	9	0.04	WellA
420.8	2.93	0.44	9.77	0.28	423	333	10	0.04	WellA
422.9	2.48	0.33	8.01	0.35	425	323	14	0.04	WellA
428.0	3.25	0.42	11.73	0.31	424	361	10	0.03	WellA
429.0	2.93	0.33	8.94	0.41	426	305	14	0.04	WellA
431.5	3.15	0.35	8.58	0.33	423	272	10	0.04	WellA
433.7	2.90	0.28	7.92	0.27	425	273	9	0.03	WellA
436.2	3.14	0.35	7.77	0.43	419	247	14	0.04	WellA
438.7	2.55	0.20	3.98	0.41	420	156	16	0.05	WellA
439.5	3.07	0.25	6.76	0.48	421	220	16	0.04	WellA
440.0	2.96	0.29	8.57	0.30	427	290	10	0.03	WellA
442.6	2.25	0.19	4.71	0.38	430	209	17	0.04	WellA
445.6	2.30	0.18	4.60	0.33	424	200	14	0.04	WellA
82.8	1.32	0.03	1.25	0.42	438	94.6969696969697	31.8181818181818	0.02	WellB
85.5	1.68	0.02	2.27	0.38	439	135.119047619048	22.6190476190476	0.00873362445414847	WellB
85.9	1.78	0.02	2.27	0.33	439	127.52808988764	18.5393258426966	0.00873362445414847	WellB
89.8	1.49	0.02	2.01	0.3	439	134.89932885906	20.1342281879195	0.00985221674876848	WellB
90.4	1.32	0.02	1.66	0.22	438	125.757575757576	16.6666666666667	0.0119047619047619	WellB
92.0	1.81	0.06	2.59	0.27	432	143.093922651934	14.9171270718232	0.0226415094339623	WellB
92.8	1.55	0.06	2.01	0.33	433	129.677419354839	21.2903225806452	0.0289855072463768	WellB
93.3	1.71	0.05	2.34	0.29	433	136.842105263158	16.9590643274854	0.0209205020920502	WellB
93.7	1.7	0.07	2.81	0.4	433	165.294117647059	23.5294117647059	0.0243055555555556	WellB
94.2	2.23	0.09	4.37	0.32	430	195.964125560538	14.3497757847534	0.0201793721973094	WellB
96.3	2.2	0.09	3.96	0.24	431	180	10.9090909090909	0.0222222222222222	WellB
96.7	2.15	0.06	4.26	0.4	432	198.139534883721	18.6046511627907	0.0138888888888889	WellB
97.8	2.65	0.16	6.78	0.33	430	255.849056603774	12.4528301886792	0.0230547550432277	WellB
97.8	2.79	0.13	6.56	0.33	430	235.125448028674	11.8279569892473	0.0194319880418535	WellB
98.8	2.05	0.09	3.45	0.28	424	168.292682926829	13.6585365853659	0.0254237288135593	WellB
99.4	2.15	0.13	3.64	0.32	422	169.302325581395	14.8837209302326	0.0344827586206897	WellB
99.7	2.55	0.13	4.08	0.44	423	160	17.2549019607843	0.0308788598574822	WellB
100.6	2.2	0.16	5.69	0.29	427	258.636363636364	13.1818181818182	0.0273504273504273	WellB
100.7	2.11	0.12	3.42	0.36	423	162.085308056872	17.0616113744076	0.0338983050847458	WellB
102.1	2.14	0.11	3.4	0.43	424	158.878504672897	20.0934579439252	0.0313390313390313	WellB
102.2	1.87	0.12	3.39	0.48	423	181.283422459893	25.668449197861	0.0341880341880342	WellB
103.9	2.21	0.12	6.46	0.24	427	292.307692307692	10.8597285067873	0.0182370820668693	WellB
104.0	1.99	0.13	5.96	0.28	428	299.497487437186	14.070351758794	0.0213464696223317	WellB
105.7	3.79	0.2	14.82	0.5	425	391.029023746702	13.1926121372032	0.0133155792276964	WellB
105.8	3.52	0.18	13.34	0.43	424	378.977272727273	12.2159090909091	0.0133136094674556	WellB
106.7	2.87	0.14	9.64	0.39	425	335.88850174216	13.588850174216	0.0143149284253579	WellB
107.0									WellB
108.6	1.87	0.1	5.75	0.27	427	307.486631016043	14.4385026737968	0.0170940170940171	WellB
108.8	2.55	0.1	5.66	0.38	420	221.960784313725	14.9019607843137	0.0173611111111111	WellB
109.8	2.33	0.12	7.55	0.38	426	324.034334763948	16.3090128755365	0.015645371577575	WellB
110.0									WellB
110.9	2.65	0.24	8.99	0.45	424	339.245283018868	16.9811320754717	0.0260021668472373	WellB
111.6	3.56	0.44	12.73	0.46	422	357.584269662921	12.9213483146067	0.0334092634776006	WellB
112.0	1.71	0.7	7.94	0.28	421	464.327485380117	16.374269005848	0.0810185185185185	WellB
112.8									WellB
113.8	2.69	0.36	11.33	0.36	423	421.189591078067	13.3828996282528	0.0307955517536356	WellB
114.0									WellB
114.9	3.59	0.48	14.95	0.43	420	416.434540389972	11.9777158774373	0.0311082307193778	WellB
115.8	3.13	0.46	12.97	0.45	419	414.376996805112	14.3769968051118	0.0342516753536858	WellB
117.0	2.92	0.39	8.8	0.37	415	301.369863013699	12.6712328767123	0.0424374319912949	WellB
117.3	2.88	0.41	11.09	0.33	422	385.069444444444	11.4583333333333	0.0356521739130435	WellB
118.2	4.51	0.38	19.77	0.56	420	438.359201773836	12.4168514412417	0.0188585607940447	WellB
